Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
stashbox-custom,STASHBOX - Custom Design Storage Box,"<p><strong>STASHBOX - Premium Storage Solution with Custom Design Options</strong></p><p>Elevate your storage game with our premium STASHBOX collection. Choose from a vibrant selection of colors and make it uniquely yours by uploading your own custom design!</p><p><strong>Features:</strong></p><ul><li>High-quality PLA construction for durability</li><li>Perfect for organizing small items, collectibles, or personal treasures</li><li>Secure closure mechanism keeps contents safe</li><li>Stackable design for space-efficient storage</li><li>Available in 12+ stunning colors</li><li>Custom design upload option for personalization</li></ul><p><strong>Customization Options:</strong></p><ul><li>Choose your preferred color from our extensive palette</li><li>Upload your own logo, artwork, or design</li><li>Perfect for gifts, branding, or personal expression</li></ul>",STASHBOX,Arts & Entertainment > Hobbies & Creative Arts > Collectibles,Storage Box,"storage, custom, personalized, stashbox, organizer, premium, PLA, gift, customizable",TRUE,Color,Black,Design,Standard,,,STB-BLK-STD,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,,1,STASHBOX Black Closed,FALSE,STASHBOX Custom Storage Box - Black | Premium Organizer,Premium customizable storage box in black. Upload your own design for personalization. Perfect for collectors and organization.,594,unisex,adult,STB-BLK-STD,new,FALSE,,g,,15,TRUE,,,TRUE,,,active
stashbox-custom,,,,,,,,,Black,,Custom Upload,,,STB-BLK-CUS,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,,2,STASHBOX Black Open,,,,,,,,,,,,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Blue Premium,,Standard,,,STB-BLU-STD,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,,3,STASHBOX Blue Closed,,,,,,,,,,,,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Blue Premium,,Custom Upload,,,STB-BLU-CUS,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,,4,STASHBOX Blue Open,,,,,,,,,,,,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Brown,,Standard,,,STB-BRN-STD,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,,5,STASHBOX Brown Closed,,,,,,,,,,,,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Brown,,Custom Upload,,,STB-BRN-CUS,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,,6,STASHBOX Brown Open,,,,,,,,,,,,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Dark Blue,,Standard,,,STB-DBL-STD,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,,7,STASHBOX Dark Blue Closed,,,,,,,,,,,,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Dark Blue,,Custom Upload,,,STB-DBL-CUS,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,,8,STASHBOX Dark Blue Open,,,,,,,,,,,,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Gray,,Standard,,,STB-GRY-STD,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,,9,STASHBOX Gray Closed,,,,,,,,,,,,g,,15,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Gray,,Custom Upload,,,STB-GRY-CUS,250,shopify,50,deny,manual,34.99,44.99,TRUE,TRUE,,,10,STASHBOX Gray Open,,,,,,,,,,,,g,,18,TRUE,,,TRUE,,,
stashbox-custom,,,,,,,,,Green,,Standard,,,STB-GRN-STD,250,shopify,100,deny,manual,29.99,39.99,TRUE,TRUE,,,11,STASHBOX Green Closed,,,,,,,,,,,,g,,15,TRUE,,,TRUE,,,
